player_display_name,position_group,current_team,is_rookie,draft_round,draft_number,projected_ppg,ppg_median,ppg_floor,ppg_ceiling,projected_games,projected_total,total_floor,total_ceiling,pos_rank
Joe Flacco,QB,CIN,0.0,1.0,18.0,13.4,14.5,2.4,17.7,7.0,93,17,123,35
Rico Dowdle,RB,PIT,0.0,,,8.3,10.4,5.4,15.3,11.2,93,60,171,42
Blake Corum,RB,LAR,0.0,3.0,83.0,7.8,5.3,0.0,13.6,11.9,93,0,162,43
MIA DST,DST,MIA,,,,5.8,5.9,4.5,7.6,16.0,93,71,121,17
Bhayshul Tuten,RB,JAX,0.0,4.0,104.0,7.4,5.8,0.8,11.4,12.4,92,10,142,44
CAR DST,DST,CAR,,,,5.8,5.6,4.1,8.7,16.0,92,66,139,18
NYG DST,DST,NYG,,,,5.7,6.2,3.8,8.6,16.0,92,60,137,19
Matthew Golden,WR,GB,0.0,1.0,23.0,7.9,7.7,1.6,13.2,11.3,90,18,149,68
Matt Gay,K,LV,,,,6.9,7.3,5.4,8.6,13.0,90,71,112,35
BUF DST,DST,BUF,,,,5.6,5.5,4.3,7.7,16.0,90,69,124,20
TB DST,DST,TB,,,,5.6,5.8,4.4,7.9,16.0,90,70,126,21
Cooper Kupp,WR,SEA,0.0,3.0,69.0,7.2,5.8,1.4,13.1,12.5,89,17,163,69
Marvin Mims Jr.,WR,DEN,0.0,2.0,63.0,6.6,5.9,0.0,12.2,13.5,89,0,164,70
Jake Moody,K,WAS,,,,7.2,7.0,5.6,9.6,12.4,89,70,119,37
Tyjae Spears,RB,TEN,0.0,3.0,81.0,7.4,6.4,1.5,14.6,11.9,88,18,174,45
Geno Smith,QB,NYJ,0.0,2.0,39.0,11.4,12.1,-0.2,17.2,7.6,87,-2,132,36
Justin Fields,QB,KC,0.0,1.0,11.0,10.8,13.0,0.4,17.4,7.9,86,3,138,37
Romeo Doubs,WR,NE,0.0,4.0,132.0,7.4,7.6,1.6,13.2,11.6,86,19,153,71
DeMario Douglas,WR,NE,0.0,6.0,210.0,6.1,5.9,0.1,9.9,14.1,86,1,140,72
Anthony Richardson,QB,IND,0.0,1.0,4.0,11.5,10.7,-0.4,16.1,7.5,86,-3,120,38
Jaylin Noel,WR,HOU,0.0,3.0,79.0,6.1,7.2,0.8,11.5,14.1,86,11,163,73
DET DST,DST,DET,,,,5.4,5.6,3.7,7.9,16.0,86,59,127,22
LV DST,DST,LV,,,,5.4,5.9,3.5,8.1,16.0,86,56,130,23
TEN DST,DST,TEN,,,,5.4,6.4,3.4,8.7,16.0,86,54,139,24
Aaron Jones,RB,MIN,0.0,5.0,182.0,7.4,6.5,2.9,14.3,11.4,84,33,162,46
Dylan Sampson,RB,CLE,0.0,4.0,126.0,6.8,5.8,0.5,12.8,12.3,84,7,157,47
Isaac TeSlaa,WR,DET,0.0,3.0,70.0,6.6,7.0,0.7,13.2,12.7,84,9,167,74
Marcus Mariota,QB,WAS,0.0,1.0,2.0,10.5,9.9,0.0,16.5,7.9,83,0,130,40
Kayshon Boutte,WR,NE,0.0,6.0,187.0,6.9,5.9,0.8,12.6,12.1,83,9,152,75
Jameis Winston,QB,NYG,0.0,1.0,1.0,11.4,13.4,2.0,17.2,7.2,82,14,125,41
Kimani Vidal,RB,LAC,0.0,6.0,181.0,7.5,6.5,0.4,15.6,10.9,82,5,170,48
Xavier Worthy,WR,KC,0.0,1.0,28.0,7.0,8.6,2.0,13.8,11.7,82,24,161,76
DAL DST,DST,DAL,,,,5.1,5.8,2.8,9.0,16.0,82,45,144,25
KC DST,DST,KC,,,,5.1,5.5,4.1,8.2,16.0,82,66,131,26
Pat Bryant,WR,DEN,0.0,3.0,74.0,6.6,6.0,0.5,13.2,12.3,81,6,162,77
BAL DST,DST,BAL,,,,5.1,5.7,4.1,7.5,16.0,81,65,120,27
Germie Bernard,WR,PIT,1.0,2.0,47.0,7.6,6.2,1.2,13.5,10.6,80,13,142,78
CIN DST,DST,CIN,,,,5.0,5.5,3.3,7.2,16.0,80,52,115,28
Jordan Mason,RB,MIN,0.0,,,6.2,6.0,0.0,13.6,12.6,79,0,171,49
SF DST,DST,SF,,,,5.0,5.6,3.2,7.6,16.0,79,51,122,29
Gunnar Helm,TE,TEN,0.0,4.0,120.0,6.2,5.0,2.8,10.0,12.6,78,35,126,30
NYJ DST,DST,NYJ,,,,4.8,5.5,2.4,8.8,16.0,77,39,140,30
Cole Kmet,TE,CHI,0.0,2.0,43.0,5.9,5.0,2.7,10.2,13.1,76,36,133,31
Rachaad White,RB,WAS,0.0,3.0,91.0,6.1,6.3,0.1,14.3,12.5,76,2,178,50
ARI DST,DST,ARI,,,,4.8,5.5,3.3,7.3,16.0,76,53,117,31
NE DST,DST,NE,,,,4.8,5.2,3.6,8.6,16.0,76,57,138,32
Lucas Havrisik,K,GB,,,,6.3,6.5,2.8,10.3,12.0,75,34,123,38
Elijah Arroyo,TE,SEA,0.0,2.0,50.0,5.8,6.3,1.0,10.0,12.7,74,12,127,32
Zane Gonzalez,K,MIA,,,,7.7,7.2,5.2,9.4,9.4,72,49,88,39
